Name,              Condensation point, Condenses into,                        SHC,    TC,     Light Absorption, Radiation Absorption, Density
Aluminum Gas,      2470.00,            Molten Aluminum,                       0.91,   2.5,    50%,              7%,                   63.546
Carbon Dioxide,    -48.15,             Liquid Carbon Dioxide,                 0.846,  0.0146, 10%,              8%,                   44.01
Carbon Gas,        4826.85,            Liquid Carbon,                         0.71,   1.7,    30%,              8%,                   12.0107
Chlorine Gas,      -34.60,             Liquid Chlorine,                       0.48,   0.0081, 20%,              7%,                   34.453
Polluted Oxygen,   -182.96,            Liquid Oxygen,                         1.01,   0.024,  10%,              8%,                   15.9994
Copper Gas,        2560.85,            Molten Copper,                         0.386,  1,      50%,              6%,                   63.546
Gold Gas,          2855.85,            Molten Gold,                           0.1291, 1,      50%,              3%,                   196.966569
Hydrogen Gas,      -252.15,            Liquid Hydrogen,                       2.4,    0.168,  10%,              9%,                   1.00794
Iron Gas,          2749.85,            Molten Iron,                           0.449,  1,      50%,              6%,                   55.845
Cobalt Gas,        2926.85,            Molten Cobalt,                         0.42,   1,      50%,              6%,                   58.9
Lead Gas,          1749.00,            Molten Lead,                           0.128,  3.5,    50%,              8%,                   196.966569
Mercury Gas,       356.75,             Liquid Mercury,                        0.14,   8.3,    50%,              2%,                   200.59
Natural Gas,       -161.50,            Liquid Methane,                        2.191,  0.035,  25%,              7%,                   16.044
Niobium Gas,       4743.85,            Molten Niobium,                        0.265,  1,      50%,              5%,                   92.9
Nuclear Fallout,   66.85,              Liquid Nuclear Waste,                  0.265,  1,      50%,              3%,                   92.9
Oxygen,            -182.96,            Liquid Oxygen,                         1.005,  0.024,  0%,               8%,                   15.9994
Phosphorus Gas,    280.45,             Liquid Phosphorus,                     0.7697, 0.236,  50%,              7%,                   30.973762
Rock Gas,          2356.85,            Magma,                                 1,      0.1,    50%,              7%,                   50
Salt Gas,          1464.85,            Molten Salt,                           0.88,   0.444,  10%,              7%,                   50
Sour Gas,          -161.50,            Liquid Methane 67.00% / Sulfur 33.00%, 1.898,  0.018,  25%,              5%,                   19.044
Steam,             99.35,              Water,                                 4.179,  0.184,  10%,              8%,                   18.01528
Steel Gas,         3826.85,            Molten Steel,                          0.49,   1,      50%,              7%,                   54.97
Sulfur Gas,        337.00,             Liquid Sulfur,                         0.7,    0.2,    10%,              7%,                   32
Super Coolant Gas, 436.85,             Super Coolant,                         8.44,   1.2,    50%,              6%,                   190
Tungsten Gas,      5929.85,            Molten Tungsten,                       0.134,  1,      50%,              3%,                   183.84
Ethanol Gas,       78.35,              Ethanol,                               2.148,  0.167,  50%,              7%,                   46.07
