Element,               Freezing Point, Freezes Into,                Vaporization Point, Vaporizes Into,                 SHC,    TC,     Light Absorption, Radiation Absorption, Density
Brine,                 -22.50,         Brine Ice,                   102.75,             Steam 70.00% / Salt 30.00%,     3.4,    0.609,  25%,              80%,                  22
Liquid Chlorine,       -100.98,        Solid Chlorine,              -34.60,             Chlorine Gas,                   0.48,   0.0081, 100%,             73%,                  34.453
Crude Oil,             -40.15,         Solid Crude Oil,             399.85,             Petroleum,                      1.69,   2,      100%,             80%,                  500
Polluted Water,        -20.65,         Polluted Ice,                119.35,             Steam 99.00% / Dirt 1.00%,      4.179,  0.58,   70%,              80%,                  20
Liquid Carbon Dioxide, -56.55,         Solid Carbon Dioxide,        -48.15,             Carbon Dioxide,                 0.846,  1.46,   100%,             80%,                  44.01
Liquid Hydrogen,       -259.15,        Solid Hydrogen,              -252.15,            Hydrogen Gas,                   2.4,    0.1,    100%,             90%,                  1.00794
Liquid Methane,        -182.60,        Solid Methane,               -161.50,            Natural Gas,                    2.191,  0.03,   60%,              75%,                  16.044
Liquid Oxygen,         -218.79,        Solid Oxygen,                -182.96,            Oxygen,                         1.01,   2,      100%,             82%,                  15.9994
Liquid Phosphorus,     44.15,          Refined Phosphorus,          280.45,             Phosphorus Gas,                 0.7697, 0.236,  100%,             75%,                  30.973762
Liquid Sulfur,         115.20,         Sulfur,                      337.00,             Sulfur Gas,                     0.7,    0.2,    10%,              74%,                  32
Brackene,              -16.50,         Frozen Brackene,             80.00,              Brine 90.00% / Brackwax 10.00%, 4.1,    0.609,  80%,              80%,                  23
Magma,                 1409.85,        Igneous Rock,                2356.85,            Rock Gas,                       1,      1,      100%,             80%,                  50
Mercury,               -38.85,         Solid Mercury,               356.75,             Mercury Gas,                    0.14,   8.3,    100%,             25%,                  200.59
Molten Aluminum,       660.30,         Aluminum,                    2470.00,            Aluminum Gas,                   0.91,   20.5,   100%,             77%,                  55.845
Liquid Carbon,         3551.85,        Refined Carbon,              4826.85,            Carbon Gas,                     0.71,   2,      100%,             84%,                  12.0107
Molten Copper,         1083.85,        Copper,                      2560.85,            Copper Gas,                     0.386,  12,     100%,             61%,                  63.546
Molten Glass,          1126.85,        Resource Glass,              2356.85,            Rock Gas,                       0.2,    1,      70%,              65%,                  50
Molten Gold,           1063.85,        Gold,                        2855.85,            Gold Gas,                       0.1291, 6,      100%,             35%,                  196.966569
Molten Iron,           1534.85,        Iron,                        2749.85,            Iron Gas,                       0.449,  4,      100%,             66%,                  55.845
Molten Cobalt,         1494.85,        Cobalt,                      2926.85,            Cobalt Gas,                     0.42,   4,      100%,             63%,                  58.9
Molten Lead,           327.50,         Lead,                        1749.00,            Lead Gas,                       0.128,  11,     100%,             85%,                  196.966569
Molten Niobium,        2476.85,        Niobium,                     4743.85,            Niobium Gas,                    0.265,  54,     100%,             49%,                  92.9
Molten Salt,           799.85,         Salt,                        1464.85,            Salt Gas,                       0.7,    0.444,  10%,              75%,                  32
Molten Steel,          1083.85,        Steel,                       3826.85,            Steel Gas,                      0.386,  80,     100%,             74%,                  63.546
Molten Tungsten,       3421.85,        Tungsten,                    5929.85,            Tungsten Gas,                   0.134,  4,      70%,              35%,                  183.84
Liquid Uranium,        132.85,         Depleted Uranium,            4131.85,            Rock Gas,                       1.69,   2,      100%,             30%,                  196.966569
Liquid Naphtha,        -50.15,         Solid Naphtha,               538.85,             Sour Gas,                       2.191,  0.2,    80%,              60%,                  102.2
Liquid Nuclear Waste,  26.85,          Solid Nuclear Waste,         526.85,             Nuclear Fallout,                7.44,   6,      100%,             30%,                  196.966569
Petroleum,             -57.15,         Solid Petroleum,             538.85,             Sour Gas,                       1.76,   2,      80%,              80%,                  82.2
Liquid Resin,          20.00,          Solid Resin,                 125.00,             Steam 75.00% / Isoresin 25.00%, 1.11,   0.15,   80%,              75%,                  52.5
Salt Water,            -7.50,          Brine 23.00% / Ice 77.00%,   99.69,              Steam 93.00% / Salt 7.00%,      4.1,    0.609,  25%,              80%,                  21
Nectar,                -82.50,         Ice 23.00% / Sucrose 77.00%, 160.00,             Steam 23.00% / Sucrose 77.00%,  4.1,    0.609,  50%,              90%,                  21
Super Coolant,         -271.15,        Solid Super Coolant,         436.85,             Super Coolant Gas,              8.44,   9.46,   90%,              60%,                  250
Visco-Gel Fluid,       -30.65,         Solid Visco-Gel,             479.85,             Liquid Naphtha,                 1.55,   0.45,   10%,              60%,                  10
Water,                 -0.65,          Ice,                         99.35,              Steam,                          4.179,  0.609,  25%,              80%,                  18.01528
Ethanol,               -114.05,        Solid Ethanol,               78.35,              Ethanol Gas,                    2.46,   0.171,  25%,              70%,                  46.07
Liquid Sucrose,        185.85,         Sucrose,                     230.00,             Carbon Dioxide,                 1.255,  0.15,   10%,              70%,                  32
